,session_name,timestamp,27261,27160,27226,27263
536,f-formation,1630388129,0,0,-1,0
537,f-formation,1630388130,0,0,-1,0
538,f-formation,1630388131,0,0,-1,0
539,f-formation,1630388132,0,0,-1,0
540,f-formation,1630388133,0,0,-1,0
541,f-formation,1630388134,0,0,-1,0
542,f-formation,1630388135,0,0,-1,0
543,f-formation,1630388136,0,0,-1,0
544,f-formation,1630388137,0,0,-1,0
545,f-formation,1630388138,0,0,-1,0
546,f-formation,1630388139,0,0,-1,0
547,f-formation,1630388140,0,0,-1,0
548,f-formation,1630388141,0,0,-1,0
549,f-formation,1630388142,0,0,-1,0
550,f-formation,1630388143,0,0,-1,0
551,f-formation,1630388144,0,0,-1,0
552,f-formation,1630388145,0,0,-1,0
553,f-formation,1630388146,0,0,-1,0
554,f-formation,1630388147,0,0,-1,0
555,f-formation,1630388148,0,0,-1,0
556,f-formation,1630388149,0,0,-1,0
557,f-formation,1630388150,0,0,-1,0
558,f-formation,1630388151,0,0,-1,0
559,f-formation,1630388152,0,0,-1,0
560,f-formation,1630388153,0,0,-1,0
561,f-formation,1630388154,0,0,-1,0
562,f-formation,1630388155,0,0,-1,0
563,f-formation,1630388156,0,0,-1,0
564,f-formation,1630388157,0,0,-1,0
565,f-formation,1630388158,0,0,-1,0
566,f-formation,1630388159,0,0,-1,0
567,f-formation,1630388160,0,0,-1,0
568,f-formation,1630388161,0,0,-1,0
569,f-formation,1630388162,0,0,-1,0
570,f-formation,1630388163,0,0,-1,0
571,f-formation,1630388164,0,0,-1,0
572,f-formation,1630388165,0,0,-1,0
573,f-formation,1630388166,0,0,-1,0
574,f-formation,1630388167,0,0,-1,0
575,f-formation,1630388168,0,0,-1,0
576,f-formation,1630388169,0,0,-1,0
577,f-formation,1630388170,0,0,-1,0
578,f-formation,1630388171,0,0,-1,0
579,f-formation,1630388172,0,0,-1,0
580,f-formation,1630388173,0,0,-1,0
581,f-formation,1630388174,0,0,-1,0
582,f-formation,1630388175,0,0,-1,0
583,f-formation,1630388176,0,0,-1,0
584,f-formation,1630388177,0,0,-1,0
585,f-formation,1630388178,0,0,-1,0
586,f-formation,1630388179,0,0,-1,0
587,f-formation,1630388180,0,0,-1,0
588,f-formation,1630388181,0,0,-1,0
589,f-formation,1630388182,0,0,-1,0
590,f-formation,1630388183,0,0,-1,0
591,f-formation,1630388184,0,0,-1,0
592,f-formation,1630388185,0,0,-1,0
593,f-formation,1630388186,0,0,-1,0
594,f-formation,1630388187,0,0,-1,0
595,f-formation,1630388188,0,0,-1,0
596,f-formation,1630388189,0,0,-1,0
597,f-formation,1630388190,0,0,-1,0
598,f-formation,1630388191,0,0,-1,0
599,f-formation,1630388192,0,0,-1,0
600,f-formation,1630388193,0,0,-1,0
601,f-formation,1630388194,0,0,-1,0
602,f-formation,1630388195,0,0,-1,0
603,f-formation,1630388196,0,0,-1,0
604,f-formation,1630388197,0,0,-1,0
605,f-formation,1630388198,0,0,-1,0
606,f-formation,1630388199,0,0,-1,0
607,f-formation,1630388200,0,0,-1,0
608,f-formation,1630388201,0,0,-1,0
609,f-formation,1630388202,0,0,-1,0
610,f-formation,1630388203,0,0,-1,0
611,f-formation,1630388204,0,0,-1,0
612,f-formation,1630388205,0,0,-1,0
613,f-formation,1630388206,0,0,-1,0
614,f-formation,1630388207,0,0,-1,0
615,f-formation,1630388208,0,0,-1,0
616,f-formation,1630388209,0,0,-1,0
617,f-formation,1630388210,0,0,-1,0
618,f-formation,1630388211,0,0,-1,0
619,f-formation,1630388212,0,0,-1,0
620,f-formation,1630388213,0,0,-1,0
621,f-formation,1630388214,0,0,-1,0
622,f-formation,1630388215,0,0,-1,0
623,f-formation,1630388216,0,0,-1,0
624,f-formation,1630388217,0,0,-1,0
625,f-formation,1630388218,0,0,-1,0
626,f-formation,1630388219,0,0,-1,0
627,f-formation,1630388220,0,0,-1,0
628,f-formation,1630388221,0,0,-1,0
629,f-formation,1630388222,0,0,-1,0
630,f-formation,1630388223,1,0,-1,0
631,f-formation,1630388224,1,0,-1,0
632,f-formation,1630388225,1,0,-1,0
633,f-formation,1630388226,1,0,-1,0
634,f-formation,1630388227,0,0,-1,0
635,f-formation,1630388228,0,0,-1,0
636,f-formation,1630388229,0,0,-1,0
637,f-formation,1630388230,0,0,-1,0
638,f-formation,1630388231,0,0,-1,0
639,f-formation,1630388232,0,0,-1,0
640,f-formation,1630388233,0,0,-1,0
641,f-formation,1630388234,0,0,-1,0
642,f-formation,1630388235,0,0,-1,0
643,f-formation,1630388236,0,0,-1,0
644,f-formation,1630388237,0,0,-1,0
645,f-formation,1630388238,0,0,-1,0
646,f-formation,1630388239,0,0,-1,0
647,f-formation,1630388240,0,0,-1,0
648,f-formation,1630388241,0,0,-1,0
649,f-formation,1630388242,0,0,-1,0
650,f-formation,1630388243,0,0,-1,0
651,f-formation,1630388244,0,0,-1,0
652,f-formation,1630388245,0,0,-1,0
653,f-formation,1630388246,0,0,-1,0
654,f-formation,1630388247,0,0,-1,0
